"Barnacles" "Algae" "Mussels" "Rock" "T" "Wave"
92.81 53.23 0 7.19 15.3222222222222 1.4
91.09 53.73 3.23 8.91 16.5766666666667 1.06666666666667
94.57 59.16 5.78 5.43 18.0612903225806 1.11612903225806
95.2 63.96 7.62 4.8 19.5774193548387 0.82258064516129
95.57 68.33 8.7 4.43 20.8724137931034 0.958620689655172
95.58 69.68 8.99 4.42 19.8387096774194 1.39032258064516
91.87 63.72 8.56 8 18.7866666666667 1.33
84.79 52 7.5 14.87 17.3677419354839 1.08387096774194
77.17 38.64 5.87 22.3 15.8366666666667 1.06333333333333
71.86 27.76 1.66 27.55 14.6870967741935 1.14838709677419
70.36 21.7 0 29.31 14.558064516129 1.08064516129032
69.76 16.86 0 30.58 14.5566666666667 1.12
69.46 12.68 0.83 31.64 15.0709677419355 0.932258064516129
69.14 8.99 4.62 32.46 16.5266666666667 1.45666666666667
68.49 5.6 17.32 33 19.2 1.49354838709677
67.18 2.34 18.62 33.24 20.7548387096774 1.67096774193548
42.22 0.62 17.46 13.14 21.125 1.45357142857143
35.91 10.84 16.32 13.17 21.1451612903226 0.97741935483871
34.7 15.45 16.13 13.23 19.64 1.00666666666667
34.78 15.27 18 13.32 18.1225806451613 0.929032258064516
35.01 14.96 20.57 13.49 16.4633333333333 1.25
35.41 14.61 22.41 13.8 14.8967741935484 1.11612903225806
36.01 14.3 24.51 14.3 14.058064516129 1.95483870967742
36.87 14.13 30.89 15.04 14.8866666666667 2.02142857142857
43.14 21.4 37.86 28.93 15.8806451612903 1.5258064516129
42.3 21.14 34.15 35.83 17.5133333333333 1.54666666666667
38.88 18.96 24.07 40.31 18.258064516129 1.16451612903226
35.19 16.62 14.46 43.11 19.041935483871 1.2
33.2 15.35 7.18 44.2 21.6428571428571 1.75357142857143
37.88 16.57 1.17 42.68 21.0451612903226 1.31612903225806
48.72 18.98 0 38.82 19.6533333333333 1.07333333333333
56.28 19.5 0 35.14 17.3548387096774 0.9
62.82 19.38 0 30.81 15.5433333333333 1.17333333333333
69.16 19.14 0 25.98 14.641935483871 1.13870967741935
74.83 18.76 0 21.25 14.2451612903226 1.70645161290323
79.37 18.25 0 17.23 14.2433333333333 1.08333333333333
82.3 17.61 0 14.5 15.5967741935484 1.10645161290323
83.15 16.74 0 13.68 17.1433333333333 1.14666666666667
81.43 11.93 0 15.14 18.4161290322581 0.845161290322581
78.25 6.05 0 17.07 18.9548387096774 0.909677419354839
74.96 4.88 1.85 17.41 19.8357142857143 0.989285714285714
70.46 4.97 4.9 16.98 19.9709677419355 1.60967741935484
65.22 5.14 6 16.22 18.7033333333333 0.933333333333333
60.11 5.41 6 15.23 16.7645161290323 0.925806451612903
56.01 5.78 6.31 14.13 15.2233333333333 0.823333333333333
53.8 6.24 13.39 13.04 14.1741935483871 1.37096774193548
57.36 8.26 21.67 11.85 13.841935483871 1.39354838709677
71.75 14.45 30.75 10.24 14.1266666666667 1.29
86.69 20.72 33.78 8.89 14.6225806451613 0.774193548387097
90.92 22.71 28.38 8.5 15.58 0.676666666666667
78.83 22.46 23.16 8.98 17.0032258064516 1.08666666666667
63.05 22.14 25.66 9.91 19.0612903225806 1.23548387096774
